S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,82,82,386,"10,554","45,746"
1,Badgogua,2,2,9,249,965
2,Bhalupani,9,9,67,"1,168","5,234"
3,Bonaigarh,2,2,17,848,"3,954"
4,Bonaikela,3,3,11,467,"1,901"
5,Govindpur,7,7,25,786,"3,327"
6,Jakeikela,7,7,22,686,"2,828"
7,Jhirdapali,8,8,40,"1,066","4,658"
8,Kasada,15,15,64,"1,161","5,476"
9,Kenaveta,3,3,16,583,"2,415"
10,Kendrikela,6,6,25,831,"3,442"
11,Pithachor,9,9,38,864,"3,730"
12,Ruguda,6,6,21,605,"2,666"
13,S.bolang,5,5,31,"1,240","5,150"
,Total,82,82,386,"10,554","45,746"
