S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,104,388,"18,946","75,722"
1,Alapaka,2,16,669,"2,624"
2,Badbanga,8,26,992,"4,624"
3,Chhatenpali,5,22,"1,131","4,666"
4,Darlipali,2,17,"1,115","4,288"
5,Dumabahal,8,17,928,"3,582"
6,Giringkela,11,36,"2,051","8,608"
7,Gundiadihi,4,18,758,"3,305"
8,Hurmei,5,24,933,"4,078"
9,Jhurimal,5,21,"1,293","5,028"
10,Kulabira,2,18,"1,148","4,269"
11,Lephripara,5,30,"1,633","6,227"
12,Masabira,6,18,827,"3,305"
13,Raibaga,3,23,"1,260","4,873"
14,Raidihi,3,23,"1,484","5,458"
15,Rajbahal,17,24,658,"2,645"
16,Sarafgarh,14,42,"1,130","4,714"
17,Sargipali,4,13,936,"3,428"
,Total,104,388,"18,946","75,722"
