S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,60,466,"15,548","74,667"
1,Damkuda,3,25,608,"2,739"
2,Deogaon,2,17,564,"2,683"
3,Hamirpur,12,54,"1,481","8,018"
4,Jaisar,3,26,870,"3,656"
5,Jamuna,3,23,975,"5,197"
6,Karamdihi,5,43,"1,751","7,399"
7,Karumkel,6,41,"1,436","7,340"
8,Kiralaga,3,35,"1,007","4,974"
9,Kukuridihi,3,31,874,"4,019"
10,Kulab,2,17,738,"3,023"
11,Rajpur,7,55,"1,386","6,616"
12,Subdega,2,40,"1,516","7,435"
13,Sublaya,4,26,"1,450","6,800"
14,Tangargaon,5,33,892,"4,768"
,Total,60,466,"15,548","74,667"
