S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,65,65,348,"13,184","52,551"
1,Baragarh,7,7,41,"1,194","4,863"
2,Bhadabahal,2,2,18,890,"3,352"
3,Bhasma,2,2,10,328,"1,244"
4,Birbira,3,3,24,"1,164","4,503"
5,Deuli,2,2,12,573,"2,142"
6,Karla,5,5,18,809,"3,294"
7,Kinjirma,6,6,24,"1,029","3,917"
8,Kirei,1,1,7,164,751
9,Kulta,7,7,26,"1,206","5,028"
10,Kundukela,4,4,24,832,"3,152"
11,Lahandabud,7,7,26,963,"3,995"
12,Lankahuda,2,2,17,489,"2,021"
13,Ledhimong,4,4,21,736,"3,017"
14,Majhapara,4,4,37,"1,209","5,105"
15,Masanikani,4,4,20,666,"2,545"
16,Salepali,5,5,23,932,"3,622"
,Total,65,65,348,"13,184","52,551"
