S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,1383587,268991,205095,909501,311296,229128,1958,
1,Odisha,24,Angul,360,Angul,3878,Angarabandha,122935,Angarbandha,305524,Angarbandha,404281,404281,Angarbandha,2955,314,177,2464,596,596,0,
1,Odisha,24,ANGUL,360,ANUGUL,3878,BARAGAUNIA,122927,BARAGOUNIA,696330,,0,0,,2003,476,30,1497,820,0,0,Villages taken from SBM
2,Odisha,24,ANGUL,360,ANUGUL,3878,KHINDA,122950,DHALAPADA,701264,,0,0,,449,0,0,449,135,0,0,Villages taken from SBM
2,Odisha,24,Angul,360,Angul,3878,Angarabandha,122935,Khandahata,305523,Khandahata,404280,404280,Khandahata,1362,220,0,1142,286,4,0,
3,Odisha,24,ANGUL,360,ATHMALLIK,3877,JAMUDOLI,122916,BADA DUDHIA NALI,696329,,0,0,,142,15,42,85,54,0,0,Villages taken from SBM
3,Odisha,24,Angul,360,Angul,3878,Angarabandha,122935,Samkoi,305522,Samakoi,404235,404235,Samakoi,807,0,19,788,159,136,0,
4,Odisha,24,ANGUL,360,ATHMALLIK,3877,LUNAHANDI,122911,DHELINALI,700260,,0,0,,233,24,0,209,30,0,0,Villages taken from SBM
4,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Antulia,305650,Antulia,405102,405102,Antulia,1542,384,508,650,327,327,0,
5,Odisha,24,ANGUL,360,ATHMALLIK,3877,PAIKASAHI,122905,JGADALPUR,701263,,0,0,,123,0,0,123,12,0,0,Villages taken from SBM
5,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Antulia Forest Beat,305655,Antulia Forest Beat,405116,405116,Antulia Forest Beat,309,102,91,116,61,31,0,
6,Odisha,24,ANGUL,360,ATHMALLIK,3877,THAKURAGARH,122902,CHERAGANDI,700259,,0,0,,211,70,27,114,23,0,0,Villages taken from SBM
6,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Bhalumunda,305654,Bhalumunda,404648,405124,Bhalumunda,59,0,58,1,11,0,0,
7,Odisha,24,Angul,360,Banarpal,3882,BUDHAPANKA,123042,APARTIPUR,703868,,0,404124,APARTIPUR,0,0,0,0,1,0,0,Villages taken from SBM
7,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Dandasinga,305651,Dandasinga,403806,405121,Dandasinga,1429,244,0,1185,400,400,0,
8,Odisha,24,ANGUL,360,KANIHA,3876,BALIPASI,122878,GOALAPUR,701262,,0,0,,111,0,111,0,105,0,0,Villages taken from SBM
8,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Ganjada,305658,Ganjada,405125,405125,Ganjada,1501,119,946,436,289,289,0,
9,Odisha,24,ANGUL,360,KANIHA,3876,HANUMANPUR,122899,BODIPUR,702363,,0,0,,78,0,78,0,41,0,0,Villages taken from SBM
9,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Hinsaloi,305653,Hinsaloi,405149,405122,Hinsaloi,101,9,27,65,20,20,0,
10,Odisha,24,ANGUL,360,KANIHA,3876,KULUMO,122882,LAXMANPUR,703206,,0,0,,69,0,69,0,20,0,0,Villages taken from SBM
10,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Kadalibereni,305656,Kadalibereni,405126,405126,Kadalibereni,516,58,298,160,95,0,0,
11,Odisha,24,ANGUL,360,KANIHA,3876,RENGALI,122895,HATIADANDA,695193,,0,0,,0,0,0,0,106,0,0,Villages taken from SBM
11,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Laxmanpur,305657,Laxmanapur,405123,405123,Laxmanapur,615,108,134,373,114,114,0,
12,Odisha,24,ANGUL,360,KANIHA,3876,SAMALA,122879,TIPO,702362,,0,0,,4133,229,432,3472,249,0,0,Villages taken from SBM
12,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Rodasingha,305652,Rodasinga,405101,405101,Rodasinga,1035,251,110,674,201,0,0,
13,Odisha,24,Angul,360,Angul,3878,Antulia,122954,Tabada,305659,Tabada,405103,405103,Tabada,528,77,111,340,117,0,0,
13,Odisha,24,ANGUL,360,KISHORENAGAR,3880,BILEINALLI,123007,GARUD,702717,,0,0,,451,36,50,365,83,0,0,Villages taken from SBM
14,Odisha,24,ANGUL,360,KISHORENAGAR,3880,GAN BOINDA,123004,BADAHULIA,702874,,0,0,,1031,230,44,757,118,0,0,Villages taken from SBM
14,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Badakantakula,305506,Badakantakul,405268,405268,Badakantakul,1194,307,4,883,275,275,0,
15,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Jamugadia,305502,Jamugadia,405265,405265,Jamugadia,1047,216,18,813,216,0,0,
15,Odisha,24,ANGUL,360,PALALAHADA,3881,ALLORI,123029,ARJUNJHARI,697240,,0,0,,189,10,53,126,15,0,0,Villages taken from SBM
16,Odisha,24,ANGUL,360,PALALAHADA,3881,BANDHABHUIN,123026,TAVAPALA,697239,,0,0,,199,17,53,129,5,0,0,Villages taken from SBM
16,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Kanja,305501,Kanja,405267,405267,Kanja,1448,213,320,915,350,350,0,
17,Odisha,24,ANGUL,360,PALALAHADA,3881,KHEMALA,123028,BANAR,693684,,0,0,,463,19,113,331,127,0,0,Villages taken from SBM
17,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Nuagaon,305505,Nuagan,405266,404261,Nuagan,226,88,43,95,46,46,0,
18,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Nuakheta,305507,Nuakheta,405272,405272,Nuakheta,1582,311,646,625,384,13,0,
18,Odisha,24,ANGUL,360,TALACHER,3875,TENTULEI,122871,BHANJA COLONY,700258,,0,0,,0,0,0,0,203,0,0,Villages taken from SBM
19,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Raigoda,305509,Raigoda,405277,405277,Raigoda,187,0,186,1,35,35,0,
20,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Raigodaforest Beat,305508,Kanja,405267,405276,Raigodaforest Beat,7,7,0,0,1,1,0,
21,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Sanak Antakoi,305504,Sanakantakul,405269,405269,Sanakantakul,409,34,2,373,104,104,0,
22,Odisha,24,Angul,360,Angul,3878,Badakantakula,122931,Talaberena,305503,Talaberena,405264,405264,Talaberena,566,91,27,448,116,0,0,
23,Odisha,24,Angul,360,Angul,3878,Badakera,122936,Badakera,305525,Badakera,405200,405200,Badakera,1048,138,0,910,236,96,0,
24,Odisha,24,Angul,360,Angul,3878,Badakera,122936,Champatimunda,305527,Champatimunda,405203,405203,Champatimunda,445,125,0,320,91,0,0,
25,Odisha,24,Angul,360,Angul,3878,Badakera,122936,Dalbehera Sahi,305526,Dalabeherasahi,405198,405198,Dalabeherasahi,1147,550,0,597,235,235,0,
26,Odisha,24,Angul,360,Angul,3878,Badakera,122936,Dhumuni,305532,Tumuni,405201,405201,Tumuni,1845,304,0,1541,430,219,0,
27,Odisha,24,Angul,360,Angul,3878,Badakera,122936,Guranga,305528,Guranga,405221,405221,Guranga,699,494,130,75,157,157,0,
28,Odisha,24,Angul,360,Angul,3878,Badakera,122936,Panjiasahi,305529,Panjiasahi,405199,405199,Panjiasahi,451,113,2,336,110,110,0,
29,Odisha,24,Angul,360,Angul,3878,Badakera,122936,Rugudiapada,305530,Ragadiapada,405202,405251,Ragadiapada,1055,470,0,585,231,0,0,
30,Odisha,24,Angul,360,Angul,3878,Badakera,122936,Sasan,305531,Sasan,405197,405197,Sasan,863,229,41,593,158,96,0,
31,Odisha,24,Angul,360,Angul,3878,Balanga,122938,Balanga,305540,Balanga,405273,405273,Balanga,1299,297,88,914,283,283,0,
32,Odisha,24,Angul,360,Angul,3878,Balanga,122938,Dimiripal,305546,Dimiripal,405153,405153,Dimiripal,101,22,47,32,24,24,0,
33,Odisha,24,Angul,360,Angul,3878,Balanga,122938,Hidising,305542,Hidising,405152,405152,Hidising,378,15,167,196,87,0,0,
34,Odisha,24,Angul,360,Angul,3878,Balanga,122938,Jokub,305545,Jokub,405168,405168,Jokub,97,0,97,0,20,8,0,
35,Odisha,24,Angul,360,Angul,3878,Balanga,122938,Labangi,305544,Labangi,405169,405169,Labangi,63,0,54,9,17,0,0,
36,Odisha,24,Angul,360,Angul,3878,Balanga,122938,Pampasar,305543,Pampasar,405155,405155,Pampasar,184,20,93,71,41,41,0,
37,Odisha,24,Angul,360,Angul,3878,Balanga,122938,Talisara,305541,Talisara,405274,405274,Talisara,587,12,178,397,132,132,0,
38,Odisha,24,Angul,360,Angul,3878,Balasinga,122926,Balasingha,305462,Balasinga,404278,404278,Balasinga,3797,626,5,3166,836,836,0,
39,Odisha,24,Angul,360,Angul,3878,Balasinga,122926,Hanadiha,305468,Hanadiha,404286,404286,Hanadiha,667,177,126,364,158,158,0,
40,Odisha,24,Angul,360,Angul,3878,Balasinga,122926,Kansanali,305469,Kansanali,404289,404289,Kansanali,15,15,0,0,3,3,0,
41,Odisha,24,Angul,360,Angul,3878,Balasinga,122926,Pandupur,305464,Pandupur,404291,404291,Pandupur,392,69,4,319,102,102,0,
42,Odisha,24,Angul,360,Angul,3878,Balasinga,122926,Phulapala,305467,Fulpal,404277,404277,Fulpal,104,0,0,104,30,0,0,
43,Odisha,24,Angul,360,Angul,3878,Balasinga,122926,Surab,305465,Surab,404284,404284,Surab,1130,284,25,821,234,96,0,
44,Odisha,24,Angul,360,Angul,3878,Balasinga,122926,Talasahi,305466,Talasahi,404283,404283,Talasahi,215,214,0,1,43,43,0,
45,Odisha,24,Angul,360,Angul,3878,Balasinga,122926,Viswanathpur,305463,Biswanathapur,404290,404290,Biswanathapur,167,24,96,47,44,44,0,
46,Odisha,24,Angul,360,Angul,3878,Baluakata,122942,Balarampur,305568,Balarampur,404254,404254,Balarampur,5,0,0,5,2,1,0,
47,Odisha,24,Angul,360,Angul,3878,Baluakata,122942,Baluakata,305566,Baluakata,404264,404264,Baluakata,2790,158,0,2632,648,645,0,
48,Odisha,24,Angul,360,Angul,3878,Baluakata,122942,Sabalabhanga,305567,Sabalabhanga,404259,404259,Sabalabhanga,2461,716,0,1745,541,541,0,
49,Odisha,24,Angul,360,Angul,3878,Baluakata,122942,Sabalabhanga Jungle,305571,Sabalabhangajungle,404260,404260,Sabalabhangajungle,499,135,0,364,95,54,0,
