S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,2430662,510234,303149,1617279,584378,460350,976,
1,Odisha,24,Balasore,344,Bahanaga,3707,KALYANI,119299,Bagalpur,703974,,0,393921,Bagalpur,0,0,0,0,1,0,0,Villages taken from SBM
1,Odisha,24,Balasore,344,Bahanaga,3707,Anji,119290,Anji,280958,Anji,394020,394020,Anji,2235,146,0,2089,407,407,0,
2,Odisha,24,Balasore,344,Bahanaga,3707,Anji,119290,Jaynagar,280957,jainagar,393961,393961,jainagar,572,49,0,523,137,137,0,
2,Odisha,24,Balasore,344,Balasore,3701,PADMAPUR,119141,PURASTAMPUR,703924,,0,392784,PURASTAMPUR,0,0,0,0,1,0,0,Villages taken from SBM
3,Odisha,24,Balasore,344,Balasore,3701,RAISUAN,298792,BHAGABANPUR,703740,,0,392546,BHAGABANPUR,0,0,0,0,1,0,0,Villages taken from SBM
3,Odisha,24,Balasore,344,Bahanaga,3707,Anji,119290,Kabirpur,280959,Kabirpur,394019,394019,Kabirpur,219,0,0,219,45,45,0,
4,Odisha,24,Balasore,344,Baliapal,3704,DEULA,119216,DEULA,703782,,0,392037,DEULA,0,0,0,0,1,0,0,Villages taken from SBM
4,Odisha,24,Balasore,344,Bahanaga,3707,Anji,119290,Kharida,612374,Kuapada,393914,393962,Kharida,646,485,0,161,155,155,0,
5,Odisha,24,Balasore,344,BHOGRAI,3705,GOPINATHPUR,119239,GOPINATHPUR,703869,,0,391663,GOPINATHPUR,0,0,0,0,1,0,0,Villages taken from SBM
5,Odisha,24,Balasore,344,Bahanaga,3707,Aruhabad,119291,Aruhabad,280960,Aruhabad,393943,393943,Aruhabad,1995,1172,0,823,391,391,0,
6,Odisha,24,Balasore,344,Bahanaga,3707,Aruhabad,119291,Damodar Chhak,280961,Damodarchak,393942,393942,Damodarchak,102,13,0,89,21,0,0,
6,Odisha,24,Balasore,344,Jaleswar,3706,KHULUDA,298800,SULTANPUR,703925,,0,391582,SULTANPUR,0,0,0,0,1,0,0,Villages taken from SBM
7,Odisha,24,Balasore,344,Jaleswar,3706,OLMARA,119278,MANGALPUR,704018,,0,391374,MANGALPUR,0,0,0,0,1,0,0,Villages taken from SBM
7,Odisha,24,Balasore,344,Bahanaga,3707,Aruhabad,119291,Dolapur,280964,Dolapur,393933,393933,Dolapur,1250,63,2,1185,284,284,0,
8,Odisha,24,Balasore,344,Bahanaga,3707,Aruhabad,119291,Patripur,280962,Patripur,393938,393938,Patripur,469,64,0,405,121,114,0,
8,Odisha,24,Balasore,344,Khaira,3710,BADANUAGAN,298771,BADANUAGAN,703827,,0,393416,BADANUAGAN,0,0,0,0,1,0,0,Villages taken from SBM
9,Odisha,24,Balasore,344,Nilgiri,3711,BERHAMPUR,119382,BERHAMPUR,703975,,0,393099,BERHAMPUR,0,0,0,0,1,0,0,Villages taken from SBM
