S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,1473994,363320,28137,1082537,297512,280083,73,
1,Odisha,24,Bhadrak,356,Basudebpur,3841,Adhuan,121968,Adhuan,299538,Adhuan,394916,394916,Adhuan,8076,5228,45,2803,1615,1615,0,
1,Odisha,24,Bhadrak,356,BASUDEBPUR,3841,JAGANNATHPRASAD,121976,MAMADILA,704243,,0,395437,MAMADILA,0,0,0,0,1,0,0,Villages taken from SBM
2,Odisha,24,BHADRAK,356,BASUDEVPUR,3841,BALIMEDA,121967,DAMODARPUR,692700,,0,0,,64,0,0,64,232,0,0,Villages taken from SBM
2,Odisha,24,Bhadrak,356,Basudebpur,3841,Adhuan,121968,Olagara,299539,Olagara,394918,394918,Olagara,678,0,0,678,150,150,0,
3,Odisha,24,Bhadrak,356,Basudebpur,3841,Andola,121965,Andola,299514,Bara Anandapur,394950,395045,Andola,1278,37,0,1241,256,256,0,
3,Odisha,24,BHADRAK,356,BASUDEVPUR,3841,KARANJADIA,298683,PURUSOTTOMPUR,699358,,0,0,,553,6,0,547,178,0,0,Villages taken from SBM
4,Odisha,24,BHADRAK,356,BASUDEVPUR,3841,LAXMIDASPUR,121977,KHIMPUR,699360,,0,0,,746,71,0,675,140,0,0,Villages taken from SBM
4,Odisha,24,Bhadrak,356,Basudebpur,3841,Andola,121965,Bhagabanpur,299519,Bhagabanpur,395056,395056,Bhagabanpur,510,60,0,450,102,102,0,
5,Odisha,24,Bhadrak,356,Basudebpur,3841,Andola,121965,Gopalpur,299518,Gopalpur,395035,395035,Gopalpur,1275,305,0,970,237,237,0,
5,Odisha,24,BHADRAK,356,BHADRAK,3842,BENTAL,122018,CHAKASRIDHARPUR,699361,,0,0,,210,111,0,99,25,0,0,Villages taken from SBM
6,Odisha,24,BHADRAK,356,BHADRAK,3842,HARIPUR,298693,LANGUDI,698823,,0,0,,2423,759,2,1662,403,0,0,Villages taken from SBM
6,Odisha,24,Bhadrak,356,Basudebpur,3841,Andola,121965,Jemadeipur,660087,Jemadeipur,395036,395036,Jemadeipur,407,97,0,310,66,66,0,
7,Odisha,24,Bhadrak,356,Basudebpur,3841,Andola,121965,Joragadia,299516,Joragadia,395047,395047,Joragadia,888,0,0,888,157,157,0,
