S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,446365,107489,59583,279293,106402,93676,750,
1,Odisha,24,BOUDH,364,BOUDH,3908,KASURBANDHA,298406,KURUMAPADAR,694070,,0,0,,0,0,0,0,19,0,0,Villages taken from SBM
1,Odisha,24,Boudh,364,BOUDH,3908,AINLAPALI,259875,AINLAPALI,310828,Brundaban,418433,418222,Ainlapali,675,43,0,632,138,138,0,
2,Odisha,24,BOUDH,364,HARABHANGA,3909,KUSANGA,123561,SITALPANI,311315,,0,418779,SITALPANI,11,11,0,0,4,0,0,Villages taken from SBM
2,Odisha,24,Boudh,364,Boudh,3908,Ainlapali,259875,Badikata,629993,Badikata,418269,418269,Badikata,1074,379,5,690,215,215,0,
3,Odisha,24,Boudh,364,Harabhanga,3909,RADHANAGAR,298409,BALIPUR,704244,,0,418385,BALIPUR,0,0,0,0,1,0,0,Villages taken from SBM
3,Odisha,24,Boudh,364,Boudh,3908,Ainlapali,259875,Dantapali,310805,Dantapali,418219,418219,Dantapali,460,11,3,446,104,104,0,
4,Odisha,24,Boudh,364,Harabhanga,3909,TALAGAON,123564,BUDUNI,703927,,0,418696,BUDUNI,0,0,0,0,1,0,0,Villages taken from SBM
4,Odisha,24,Boudh,364,Boudh,3908,Ainlapali,259875,Gajarajpur,310831,Gajarajpur,418223,418223,Gajarajpur,441,181,0,260,106,106,0,
5,Odisha,24,BOUDH,364,HARABHANGA,3909,TALAGAON,123564,GUNDURIBIDA,694289,,0,0,,0,0,0,0,5,0,0,Villages taken from SBM
5,Odisha,24,Boudh,364,Boudh,3908,Ainlapali,259875,Guda Pada,310806,Gudapada,418369,418216,Gudupada,599,88,6,505,133,133,0,
6,Odisha,24,Boudh,364,Boudh,3908,Ainlapali,259875,Hilung,310816,Hilung,418224,418224,Hilung,935,346,0,589,234,234,0,
6,Odisha,24,Boudh,364,KANTAMAL,3910,KHATAKHATIA,123581,RUGUDIPALI,704387,,0,417852,RUGUDIPALI,0,0,0,0,1,0,0,Villages taken from SBM
7,Odisha,24,Boudh,364,Boudh,3908,Ainlapali,259875,Khajapadar,310835,Khajapadar,418266,418266,Khajapadar,316,78,0,238,79,79,0,
8,Odisha,24,Boudh,364,Boudh,3908,Ainlapali,259875,Sahupada,310829,Sahupada,418220,418220,Sahupada,967,132,0,835,234,234,0,
9,Odisha,24,Boudh,364,Boudh,3908,Ainlapali,259875,Tatarkila,310812,Tatarkila,418218,418218,Tatarkila,844,354,0,490,206,206,0,
10,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Ambajhari,310904,Ambajhari,418476,418476,Ambajhari,1030,532,79,419,131,131,0,
11,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Anamunda,310908,Anamunda,418532,418532,Anamunda,51,9,42,0,11,11,0,
12,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Babada,310929,Babada,418538,418538,Babada,255,22,156,77,66,66,0,
13,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Bailbeda,310928,Bailbeda,418477,418477,Bailbeda,710,238,182,290,152,152,0,
14,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Banki,310907,Banki,418479,418479,Banki,38,0,38,0,8,8,0,
15,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Bhutamundi,667416,,,418579,Bhutamundi,16,0,6,10,2,2,0,
16,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Bijamari,310915,Bijamari,418535,418535,Bijamari,175,10,103,62,39,39,0,
17,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,DANGAKHOL,310900,Dangakhol,418540,418540,Dangakhol,76,0,55,21,13,13,0,
18,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Danken,310902,Danken,418573,418573,Danken,42,0,42,0,7,7,0,
19,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,DEBANDH,310912,Debandh,418488,418488,Debandh,150,4,77,69,33,33,0,
20,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,DHANABALAS,310923,Dhanabalas,418533,418533,Dhanabalas,171,0,64,107,43,43,0,
21,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,DIDINGAPADAR,310925,Didingapadar,418480,418480,Didingapadar,77,0,77,0,13,13,0,
22,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Dihikupa,310911,Dihakupa,418528,418528,Dihakupa,12,0,0,12,4,4,0,
23,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Dimirikhole,310895,Dimirikhole,418568,418568,Dimirikhole,237,94,102,41,47,47,0,
24,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Gandapadar,310924,Gandapadar,418484,418484,Gandapadar,203,131,60,12,45,45,0,
25,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Gaundisar,310894,Gaundisar,418482,418482,Gaundisar,483,280,138,65,110,110,0,
26,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Gochhapada,310922,Gochhapada,418492,418483,Gochhapada,588,233,193,162,88,88,0,
27,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Jagannathpali,660845,Jaganathpali,418529,418529,Jaganathpali,20,0,9,11,5,5,0,
28,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Jhankarpada,310906,Jhankarpada,418475,418151,Jhankarpada,337,56,121,160,81,81,0,
29,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Jharmunda,310926,Jharmunda,418537,418537,Jharmunda,66,0,62,4,16,16,0,
30,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Jileju,310930,Jileju,418578,418578,Jileju,44,0,44,0,11,11,0,
31,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,KAMARKODA,310901,Kamarkoda,418576,418576,Kamarkoda,120,0,119,1,35,35,0,
32,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Kanagun,310918,Kanagun,418536,418175,Kanagun,105,0,102,3,22,22,0,
33,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Karadapada,310919,Karadapada,418534,418276,Karadapada,132,0,51,81,26,26,0,
34,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Karadapadar,310909,Karadapadar,418562,418562,Karadapadar,78,0,78,0,20,20,0,
35,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Khajuripada,310921,Khajuripada,418478,418478,Khajuripada,348,54,179,115,96,96,0,
36,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,KURUKUJA,310910,Kurukuja,418544,418544,Kurukuja,187,4,121,62,45,45,0,
37,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Kutukur,310920,Kutukur,418530,418530,Kutukur,223,25,112,86,50,50,0,
38,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,MATAGADU,310903,Matagadu,418575,418575,Matagadu,47,0,47,0,8,8,0,
39,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,NENDEN,310896,Nenden,418526,418526,Nenden,156,59,97,0,41,41,0,
40,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Pabulipada,310914,Pabulipada,418531,418531,Pabulipada,187,0,151,36,46,46,0,
41,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Patulipada,310927,Patalipada,418485,418485,Patalipada,204,0,113,91,45,45,0,
42,Odisha,24,Boudh,364,BOUDH,3908,AMBAJHARI,123541,PINJABALI,310898,Pinjabali,418564,418564,Pinjabali,58,0,58,0,16,16,0,
43,Odisha,24,Boudh,364,Boudh,3908,Ambajhari,123541,Podam,310931,Padam,418577,418577,Padam,69,0,68,1,15,15,0,
