S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,1159586,229637,170551,759398,272817,225278,197,
1,Odisha,24,Dhenkanal,346,Bhuban,3732,Arakhapal,119848,Arakhapal,284528,Arakhapal,402423,402423,Arakhapal,1283,155,0,1128,292,237,0,
1,Odisha,24,Dhenkanal,346,Gondia,3729,DEOGAON,119783,DEOGAN,703830,,0,402772,DEOGAN,0,0,0,0,1,0,0,Villages taken from SBM
2,Odisha,24,DHENKANAL,346,KAMAKHYANAGAR,3730,BHAIRPUR,119817,DEOLA SAHI,698714,,0,0,,187,0,187,0,79,0,0,Villages taken from SBM
2,Odisha,24,Dhenkanal,346,Bhuban,3732,Arakhapal,119848,Bedhapal,284532,Bedhapal,402424,402424,Bedhapal,1532,573,0,959,342,342,0,
3,Odisha,24,Dhenkanal,346,Bhuban,3732,Arakhapal,119848,Khurusia,284531,Khurusia,402422,402422,Khurusia,1585,260,2,1323,318,318,0,
3,Odisha,24,DHENKANAL,346,KAMAKHYANAGAR,3730,BUDHIBILI,119818,BUDHIBILLI,701531,,0,0,,1602,417,1,1184,461,0,0,Villages taken from SBM
4,Odisha,24,Dhenkanal,346,Kamakhyanagar,3730,KADUA,119814,JALAS(L),704391,,0,402379,JALAS(L),0,0,0,0,1,0,0,Villages taken from SBM
4,Odisha,24,Dhenkanal,346,Bhuban,3732,Arakhapal,119848,Sanabrahmapur,284529,Sanabrahmapur,402417,402417,Sanabrahmapur,577,140,0,437,122,111,0,
5,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Anataputr,284543,Anantapur,402562,402562,Anantapur,912,381,221,310,226,190,0,
5,Odisha,24,DHENKANAL,346,KAMAKHYANAGAR,3730,KANPURA,119815,KHANDHABOLA,692269,,0,0,,346,0,0,346,24,0,0,Villages taken from SBM
6,Odisha,24,DHENKANAL,346,KAMAKHYANAGAR,3730,KUSUMJODI,119813,KIAPATANI (ANNAPURNAPUR),701944,,0,0,,623,52,152,419,7,0,0,Villages taken from SBM
6,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Arilo,284537,Arilo,402583,402583,Arilo,78,0,78,0,16,0,0,
7,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Balibo(l),284539,Balibo(L),402570,402570,Balibo(L),5146,1168,254,3724,590,474,0,
7,Odisha,24,DHENKANAL,346,KANKADA HAD,3731,BAM,119839,KAUSHALYAPAL,701430,,0,0,,242,0,242,0,61,0,0,Villages taken from SBM
8,Odisha,24,DHENKANAL,346,KANKADA HAD,3731,MAKUAKATENI,119831,MAHIDHARAPUR,698715,,0,0,,2,0,0,2,5,0,0,Villages taken from SBM
8,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Baunsakana,284534,Baunsakana,402560,402560,Baunsakana,271,0,153,118,62,58,0,
9,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Chhatakhamb,284541,Chhatakhamb,402563,402563,Chhatakhamb,36,0,18,18,5,0,0,
9,Odisha,24,DHENKANAL,346,KANKADA HAD,3731,RAIBOLA,119827,RAIBOL,701532,,0,0,,1018,22,206,790,471,0,0,Villages taken from SBM
10,Odisha,24,Dhenkanal,346,Sadar,3727,NUAGAON,119753,NUAGAN,704076,,0,403177,NUAGAN,0,0,0,0,1,0,0,Villages taken from SBM
10,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Dadhisinga,284538,Dadhisinga,402568,402568,Dadhisinga,100,0,100,0,20,14,0,
11,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Gadganpur,284533,Gadganpur,402584,402584,Gadganpur,1131,115,19,997,274,209,0,
12,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Gamargola,284545,Gamargola,402565,402565,Gamargola,81,21,5,55,19,0,0,
13,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Garudabandi,284542,Garudabandi,402572,402572,Garudabandi,931,183,320,428,200,188,0,
14,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Ichhapur,660317,Ichhapur,402561,402561,Ichhapur,23,0,0,23,6,0,0,
15,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Kankhai,284540,Kankhai,402566,402566,Kankhai,720,50,174,496,154,154,0,
16,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Kesharpur,284536,Kesharpur,402571,402571,Kesharpur,500,19,230,251,110,53,0,
17,Odisha,24,Dhenkanal,346,Bhuban,3732,Balibo,119849,Kumarda,284535,Kumarda,402567,402567,Kumarda,237,0,237,0,68,0,0,
