S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,569402,34064,349079,186259,134109,76380,118,
1,Odisha,24,Gajapati,363,Gosani,3901,Agarkhandi,123414,Agarkhandi,309357,Agarkhandi,414711,414711,Agarakhandi,1208,200,0,1008,287,287,0,
1,Odisha,24,Gajapati,363,Gosani,3901,RAMPA,123426,LINGIPUR,704020,,0,414939,LINGIPUR,0,0,0,0,1,0,0,Villages taken from SBM
2,Odisha,24,Gajapati,363,Gosani,3901,RAMPA,123426,Rampa,704248,,0,414949,Rampa,0,0,0,0,1,0,0,Villages taken from SBM
2,Odisha,24,Gajapati,363,Gosani,3901,Agarkhandi,123414,Badagam,309359,Badagam,414708,414708,Badagam,899,99,0,800,352,197,0,
3,Odisha,24,GAJAPATI,363,GUMMA,3902,BADAKALAKOTE,123433,JANGIRITULA,694123,,0,0,,237,0,236,1,3,0,0,Villages taken from SBM
3,Odisha,24,Gajapati,363,Gosani,3901,Agarkhandi,123414,Bapujipentha,614252,,,916377,Bapujipentha,957,0,0,957,320,320,0,
4,Odisha,24,Gajapati,363,Gumma,3902,GAIBA,123437,BADIGAM,704021,,0,414497,BADIGAM,0,0,0,0,1,0,0,Villages taken from SBM
4,Odisha,24,Gajapati,363,Gosani,3901,Agarkhandi,123414,Vinala,309358,Vinala,414707,414707,Vinala,1237,77,0,1160,380,296,0,
5,Odisha,24,Gajapati,363,Gosani,3901,Badakuturu,123412,Adagam,309351,Adagam,414726,414726,Adagam,376,76,0,300,122,122,0,
5,Odisha,24,GAJAPATI,363,GUMMA,3902,GUMMA,123436,KESIPUR,694124,,0,0,,547,0,189,358,13,0,0,Villages taken from SBM
6,Odisha,24,GAJAPATI,363,GUMMA,3902,PORIDA,123441,ANADAGUDA,701432,,0,0,,46,0,46,0,1,0,0,Villages taken from SBM
6,Odisha,24,Gajapati,363,Gosani,3901,Badakuturu,123412,Badakaturu,309348,Badakaturu,414688,414688,Badakaturu,399,49,0,350,213,213,0,
7,Odisha,24,Gajapati,363,Gosani,3901,Badakuturu,123412,Chatrapur,309349,Chatrapur,414687,414687,Chatrapur,784,27,0,757,289,100,0,
7,Odisha,24,Gajapati,363,Gumma,3902,RAGIDI,123445,REGEDI,703870,,0,414374,REGEDI,0,0,0,0,1,0,0,Villages taken from SBM
8,Odisha,24,GAJAPATI,363,GUMMA,3902,UKHARA,123449,LATHURIGADA,701433,,0,0,,225,0,225,0,81,0,0,Villages taken from SBM
8,Odisha,24,Gajapati,363,Gosani,3901,Badakuturu,123412,Sanakaturu,309350,Sanakaturu,414689,414689,Sanakaturu,349,30,0,319,132,120,0,
9,Odisha,24,Gajapati,363,Gosani,3901,Badakuturu,123412,Sariapalli,309352,Sariapalli,414727,414727,Sariapalli,375,320,0,55,193,193,0,
9,Odisha,24,GAJAPATI,363,GUMMA,3902,UKHARA,123449,MINJRI,697658,,0,0,,582,0,582,0,250,0,0,Villages taken from SBM
10,Odisha,24,Gajapati,363,Kashinagar,3903,KIDIGAM,123456,VENKATAPUR,704249,,0,414625,VENKATAPUR,0,0,0,0,1,0,0,Villages taken from SBM
10,Odisha,24,Gajapati,363,Gosani,3901,Baghasala,123415,Baghasala,309360,Bagasola,414709,414709,Bagasola,1835,310,0,1525,830,830,0,
11,Odisha,24,Gajapati,363,Gosani,3901,Baghasala,123415,Kududa,309364,Kududa,414702,414702,Kududa,705,73,0,632,224,224,0,
11,Odisha,24,GAJAPATI,363,KASINAGAR,3903,KHANDAVA,123459,SARA,695218,,0,0,,1310,301,106,903,162,0,0,Villages taken from SBM
12,Odisha,24,Gajapati,363,Mohana,3904,DAMADUA,123486,DAMADUA,703871,,0,413868,DAMADUA,0,0,0,0,1,0,0,Villages taken from SBM
12,Odisha,24,Gajapati,363,Gosani,3901,Baghasala,123415,Mandaladevi,309363,Mandaladevi,414706,414706,Mandaladevi,305,78,0,227,81,81,0,
13,Odisha,24,Gajapati,363,Gosani,3901,Baghasala,123415,Ranadevi,309361,Ranadevi,414704,414704,Ranadevi,527,126,0,401,268,268,0,
13,Odisha,24,Gajapati,363,Mohana,3904,GOVINDAPUR,123480,SRIRAMPUR,703831,,0,413736,SRIRAMPUR,0,0,0,0,1,0,0,Villages taken from SBM
