S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,1274443,277010,6133,991300,273951,158499,401,
1,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Adhanga,122553,Adhang,303128,Adhang,398350,398350,Adhang,1554,193,0,1361,312,115,0,
1,Odisha,24,JAGATSINGHAPUR,358,ERASAMA,3863,GADABISHUNUPUR,122543,BISWANATHPUR,697293,,0,0,,0,0,0,0,78,0,0,Villages taken from SBM
2,Odisha,24,JAGATSINGHAPUR,358,JAGATSINGHPUR,3857,ALASUDHA,298241,NIMAPUR,695316,,0,0,,246,102,0,144,340,0,0,Villages taken from SBM
2,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Adhanga,122553,Debagram,303129,Dagan,398339,398339,Dagan,949,309,0,640,222,191,0,
3,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Adhanga,122553,Jagannathpur,303132,Jaganathapur,398376,398376,Jaganathapur,439,23,0,416,64,0,0,
3,Odisha,24,JAGATSINGHAPUR,358,RAGHUNATHPUR,3858,TARAPUR,122411,ACHUTAPUR,701820,,0,0,,459,196,0,263,278,0,0,Villages taken from SBM
4,Odisha,24,JAGATSINGHAPUR,358,TIRTOL,3861,BIRTOL,122494,BERHAMPUR,699618,,0,0,,233,168,0,65,22,0,0,Villages taken from SBM
4,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Adhanga,122553,Kanpur,303131,Kanpur,398346,398346,Kanpur,725,223,0,502,111,98,0,
5,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Adhanga,122553,Khaleri,303134,Khaleri,398348,398348,Khaleri,712,28,0,684,95,81,0,
5,Odisha,24,JAGATSINGHAPUR,358,TIRTOL,3861,KRUSHNANDAPUR,122492,Nuagan,701300,,0,0,,948,195,0,753,254,0,0,Villages taken from SBM
6,Odisha,24,JAGATSINGHAPUR,358,TIRTOL,3861,SANARA,122495,Narasingh Pur,699619,,0,0,,407,93,0,314,158,0,0,Villages taken from SBM
6,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Adhanga,122553,Kulada,303130,Kulada,398349,398349,Kulada,659,176,0,483,206,206,0,
7,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Adhanga,122553,Pariadhanga,303135,Pariadhanga,398169,398169,Pariadhanga,477,212,0,265,77,58,0,
7,Odisha,24,JAGATSINGHAPUR,358,TIRTOL,3861,TARAJANGA,122471,HAJIPUR,700929,,0,0,,539,194,0,345,70,0,0,Villages taken from SBM
8,Odisha,24,Jagatsinghpur,358,Ersama,3863,DHINKIA,122546,Gobindpur,703872,,0,397308,Gobindpur,0,0,0,0,1,0,0,Villages taken from SBM
8,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Adhanga,122553,Tamplada,303133,Tamplada,398344,398344,Tamplada,318,20,0,298,57,34,0,
9,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Alabola,303107,Alabola,398286,398286,Alabola,1654,526,0,1128,308,308,0,
9,Odisha,24,Jagatsinghpur,358,Ersama,3863,JIRAILO,122536,BADABELARI,704078,,0,397282,BADABELARI,0,0,0,0,1,0,0,Villages taken from SBM
10,Odisha,24,Jagatsinghpur,358,Tirtol,3861,KATARA,122483,Gopalpur,703873,,0,397712,Gopalpur,0,0,0,0,1,0,0,Villages taken from SBM
10,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Baiganigan,303113,Baiganigan,398229,398229,Baiganigan,927,203,0,724,177,0,0,
11,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Daraba,303112,Daraba,398261,398261,Daraba,700,334,0,366,125,99,0,
11,Odisha,24,Jagatsinghpur,358,Tirtol,3861,KATARA,122483,JAGANNATHPUR,703787,,0,397661,JAGANNATHPUR,0,0,0,0,1,0,0,Villages taken from SBM
12,Odisha,24,Jagatsinghpur,358,Tirtol,3861,PIPPALMADHAB,298243,Sitol,704250,,0,397706,Sitol,0,0,0,0,1,0,0,Villages taken from SBM
12,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Dhaniso,303110,Dhaniso,398263,398263,Dhaniso,874,218,0,656,177,146,0,
13,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Gudupaillo,303114,Gudupaillo,398265,398265,Gudupaillo,332,30,0,302,60,47,0,
13,Odisha,24,Jagatsinghpur,358,Tirtol,3861,TENTULIPADA,298244,SALIJANGA,704392,,0,397592,SALIJANGA,0,0,0,0,1,0,0,Villages taken from SBM
14,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Kanti,303109,Kanti,398266,398266,Kanti,757,205,0,552,134,134,0,
15,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Narilo,303108,Narilo,398287,398287,Narilo,219,126,0,93,46,24,0,
16,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Purana,303111,Purana,398262,398262,Purana,442,113,0,329,108,43,0,
17,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alabola,122550,Sanakal,303106,Sanakal,398260,398260,Sanakal,345,18,0,327,83,24,0,
18,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Alavar,303100,Alavar,398308,398308,Alavar,1223,278,0,945,277,277,0,
19,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Aliha,303097,Aliha,398275,398275,Aliha,312,0,0,312,80,62,0,
20,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Alikana,303101,Alikana,398309,398309,Alikana,1299,617,0,682,255,255,0,
21,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Kania,303098,Kania,398305,398305,Kania,1909,337,0,1572,490,444,0,
22,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Kuliagan,303105,Kuliagan,398336,398336,Kuliagan,1231,152,0,1079,267,0,0,
23,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Majhikara,303103,Majhikora,398311,398311,Majhikora,720,49,0,671,136,111,0,
24,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Nabanga,303099,Nabanga,398307,398307,Nabanga,270,166,0,104,59,59,0,
25,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Ranapur,303102,Ranapur,398310,398310,Ranapur,840,219,0,621,221,221,0,
26,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Alavara,122549,Tertanga,303104,Tertanga,398332,398332,Tertanga,747,138,0,609,160,157,0,
27,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Ambasal,122555,Ambasal,303144,Ambasal,398353,398353,Ambasal,1943,324,0,1619,447,382,0,
28,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Ambasal,122555,Erakana,303151,Erakana,398380,398380,Erakana,282,0,0,282,78,20,0,
29,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Ambasal,122555,Mandkeswar,303268,Mandkeswar,398355,398355,Mandkeswar,470,66,0,404,94,94,0,
30,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Ambasal,122555,Nada,303146,Nada,398356,398356,Nada,895,114,0,781,251,186,0,
31,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Ambasal,122555,Otharpa,303149,Otharapa,398351,398351,Otharapa,621,164,0,457,125,55,0,
32,Odisha,24,Jagatsinghpur,358,Balikuda,3864,Ambasal,122555,Phulhar,303150,Phulahar,398379,398379,Phulahar,370,38,0,332,65,0,0,
