S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,366131,69963,147815,148353,94628,81029,113,
1,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Badmal,121881,Badmal,298711,Badmal,381128,381128,Badmal,2876,852,568,1456,657,489,0,
2,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Badmal,121881,Beherapali,298712,Beherapali,381129,381129,Beherapali,239,2,77,160,52,41,0,
3,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Badmal,121881,Brundamal,298710,Brundamal,381127,381127,Brundamal,2933,1103,1070,760,787,405,0,
4,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Badmal,121881,Pandripathar,298709,Pandripathar,381124,381124,Pandripathar,1270,247,400,623,323,282,0,
5,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Chandnimal,121892,Barpali,298761,Barpali,381084,381084,Barpali,873,152,260,461,231,231,0,
6,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Chandnimal,121892,Chandinimal,298764,Chandnimal,381090,381090,Chandnimal,1076,375,225,476,305,305,0,
7,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Chandnimal,121892,Chichinda,298760,Chichinda,381075,381075,Chichinda,1332,260,557,515,432,395,0,
8,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Chandnimal,121892,Ghusuramunda,298765,Ghusuramunda,381087,381087,Ghusuramunda,290,82,146,62,76,76,0,
9,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Chandnimal,121892,Kandakuda,298763,Kandakuda,381086,381086,Kandakuda,197,6,149,42,49,49,0,
10,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Chandnimal,121892,Kechhabahal,298762,Kechhobahal,381085,381085,Kechhobahal,923,106,572,245,233,202,0,
11,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Dalki,121885,Banjara,298727,Banjara,381126,381126,Banjari,1150,99,160,891,118,106,0,
12,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Dalki,121885,Dalki,298723,Dalki,381121,381121,Dalki,925,252,295,378,244,244,0,
13,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Dalki,121885,Kumudapali,298725,Kumudapali,381123,381123,Kumudapali,547,125,187,235,151,121,0,
14,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Dalki,121885,Kurebaga,298726,Kurebaga,381125,381125,Kurebaga,1098,173,373,552,342,226,0,
15,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Dalki,121885,Purna,298724,Purna,381122,381122,Purna,433,13,280,140,114,103,0,
16,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Durlaga,121886,Durlaga,298729,Durlaga,381111,381111,Durlaga,2326,261,813,1252,627,330,0,
17,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Durlaga,121886,Saleitikra,298730,Saletikra,381112,381112,Saletikra,446,256,28,162,114,87,0,
18,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Durlaga,121886,Talmal,298728,Talmal,381110,381110,Talmal,1643,163,784,696,398,206,0,
19,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Gourmal,121890,Badjoba,298748,Badjob,381100,381100,Badjob,820,2,566,252,211,196,0,
20,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Gourmal,121890,Chelkuthi,298745,Chelkuthi,381097,381097,Chelkuthi,258,0,86,172,60,25,0,
21,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Gourmal,121890,Gourmal,298746,Gourmal,381098,381098,Gourmal,673,58,469,146,163,163,0,
22,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Gourmal,121890,Madhupur,298743,Madhupur,381088,381088,Madhupur,433,41,300,92,114,110,0,
23,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Gourmal,121890,Naikdihi,298744,Naikdihi,381089,381089,Naikdihi,91,17,68,6,22,17,0,
24,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Gourmal,121890,Nuamunda,298749,Nuamunda,381101,381101,Nuamunda,78,0,78,0,24,24,0,
25,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Gourmal,121890,Rankata,298747,Rankata,381099,381099,Rankata,358,32,154,172,86,86,0,
26,Odisha,24,Jharsuguda,354,Jharsuguda,3837,H.katapali,121888,Beherapat,298734,Beherapat,381115,381115,Beherapat,1406,548,226,632,378,170,0,
27,Odisha,24,Jharsuguda,354,Jharsuguda,3837,H.katapali,121888,Hansamurakatapali,298733,Hansamurakatapali,381114,381114,Hansamurakatapali,4969,1470,1478,2021,1206,1110,0,
28,Odisha,24,Jharsuguda,354,Jharsuguda,3837,H.katapali,121888,Lahandabud,298735,Lahandabud,381113,381113,Lahandabud,1652,291,363,998,442,442,0,
29,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Hirma,121882,Hirma,298714,Hirma,381131,381131,Hirma,4469,1089,1830,1550,1066,692,0,
30,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Hirma,121882,Kukurjangha,298713,Kukurjangha,381130,381130,Kukurjangha,1325,255,327,743,309,260,0,
31,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Hirma,121882,Kumbhari,298715,Kumbhari,381138,381138,Kumbhari,604,94,225,285,139,139,0,
32,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Hirma,121882,Luhurenkachhar,298750,Luhurenkachhar,381139,381139,Luhurenkachhar,82,20,54,8,26,0,0,
33,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Hirma,121882,Terekela,298716,Tarekela,381140,381140,Tarekela,682,136,223,323,160,150,0,
34,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Hirma,121882,Tumbela (tumbekela),298717,Tumbela (Tumbekela),381141,381141,Tumbekela,454,161,123,170,114,58,0,
35,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Jamera,121884,Jamera,298720,Jamera,381118,381118,Jamera,1905,705,505,695,480,423,0,
36,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Jamera,121884,Jamuapali,298721,Jamuapali,381119,381119,Jamuapali,612,327,105,180,176,176,0,
37,Odisha,24,Jharsuguda,354,Jharsuguda,3837,Jamera,121884,Singhabaga,298722,Singhabaga,381120,381120,Singhabaga,1275,370,237,668,308,225,0,
