S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,1436414,306657,7470,1122287,328123,261664,718,
1,Odisha,24,Kendrapara,357,DERABIS,3849,RATADIAKHANDASAHI,122194,Ratadiakhandasahi,704081,,0,396484,Ratadiakhandasahi,0,0,0,0,1,0,0,Villages taken from SBM
1,Odisha,24,Kendrapara,357,Aali,3851,Aragal,122243,Argal,301183,Nial,396124,396076,Argal,4644,1045,0,3599,984,984,0,
2,Odisha,24,Kendrapara,357,AALI,3851,AREIKANA,122245,AREHIKANA,301192,Arehikana,396166,396166,Arehikana,1080,360,0,720,238,238,0,
2,Odisha,24,KENDRAPARA,357,DERABISH,3849,ENDARA,122192,Nilakanthapur,697324,,0,0,,713,22,0,691,577,0,0,Villages taken from SBM
3,Odisha,24,KENDRAPARA,357,GARADAPUR,3856,PADAMAPUR,122371,PADAMPUR,695690,,0,0,,1192,213,12,967,555,0,0,Villages taken from SBM
3,Odisha,24,Kendrapara,357,AALI,3851,AREIKANA,122245,BELSARPUR,301193,Belsarpur,396165,396165,Belsarpur,751,190,0,561,168,168,0,
4,Odisha,24,Kendrapara,357,AALI,3851,AREIKANA,122245,GAVADIA,301194,Gavadia,396168,396168,Gavadia,365,109,0,256,80,80,0,
4,Odisha,24,KENDRAPARA,357,GARADAPUR,3856,PAKHADA,122373,SITALPATNA,692906,,0,0,,0,0,0,0,193,0,0,Villages taken from SBM
5,Odisha,24,KENDRAPARA,357,KENDRAPADA,3848,GULNAGAR,122162,BHRAMARDIAPATNA,700912,,0,0,,42,0,0,42,7,0,0,Villages taken from SBM
5,Odisha,24,Kendrapara,357,AALI,3851,AREIKANA,122245,KUMBHAR TANKA,301195,Kumbhar tanka,396164,396164,Kumbhar tanka,986,104,0,882,275,275,0,
6,Odisha,24,Kendrapara,357,AALI,3851,ATAL,122244,ATALA,301184,Atala,396188,396188,Atala,349,35,0,314,67,67,0,
6,Odisha,24,KENDRAPARA,357,KENDRAPADA,3848,NIKIRAI,122171,Nikirai,700913,,0,0,,3899,1237,0,2662,833,0,0,Villages taken from SBM
7,Odisha,24,KENDRAPARA,357,KENDRAPADA,3848,SHYAMSUNDARPUR,122176,Purusottampur,700914,,0,0,,3515,987,0,2528,1113,0,0,Villages taken from SBM
7,Odisha,24,Kendrapara,357,AALI,3851,ATAL,122244,DHANESWARPUR,301189,Dhaneswarpur,396191,396191,Dhaneswarpur,953,216,0,737,202,202,0,
8,Odisha,24,Kendrapara,357,AALI,3851,ATAL,122244,GOPINATHPUR,301187,Gopinathpur,396196,396196,Gopinathpur,139,0,0,139,28,28,0,
8,Odisha,24,KENDRAPARA,357,MAHAKALAPADA,3855,BADIHI,122334,BAINCHA,702740,,0,0,,731,130,0,601,52,0,0,Villages taken from SBM
9,Odisha,24,KENDRAPARA,357,MAHAKALAPADA,3855,GARAROMITA,298735,CHHANDA,702743,,0,0,,838,30,0,808,229,0,0,Villages taken from SBM
9,Odisha,24,Kendrapara,357,AALI,3851,ATAL,122244,KENANGA,301190,Kenanga,396187,396187,Kenanga,426,218,0,208,88,88,0,
10,Odisha,24,Kendrapara,357,AALI,3851,ATAL,122244,KHANDOL,301191,Khandol,396190,396190,Khandol,705,12,0,693,145,145,0,
10,Odisha,24,KENDRAPARA,357,MAHAKALAPADA,3855,GARAROMITA,298735,PURUSOTTAMPUR,697326,,0,0,,348,0,0,348,77,0,0,Villages taken from SBM
11,Odisha,24,KENDRAPARA,357,MAHAKALAPADA,3855,GOGUA,122337,BARIGANDA,702741,,0,0,,960,152,0,808,219,0,0,Villages taken from SBM
11,Odisha,24,Kendrapara,357,AALI,3851,ATAL,122244,KOCHILA,301188,Kochila,396194,396194,Kochila,81,0,0,81,17,17,0,
12,Odisha,24,Kendrapara,357,AALI,3851,ATAL,122244,KUNDILO,301186,Kundilo,396195,396195,Kundilo,95,0,0,95,17,17,0,
12,Odisha,24,KENDRAPARA,357,MAHAKALAPADA,3855,TIHIRI,122344,Nuagan,702742,,0,0,,30,0,0,30,133,0,0,Villages taken from SBM
13,Odisha,24,KENDRAPARA,357,MARSAGHAI,3854,HINDULIA,298852,HENDULIA,699697,,0,0,,26,10,0,16,279,0,0,Villages taken from SBM
13,Odisha,24,Kendrapara,357,AALI,3851,ATAL,122244,PURILO,301185,Purilo,396186,396186,Purilo,61,0,0,61,18,18,0,
14,Odisha,24,Kendrapara,357,Aali,3851,Badambila,122242,Badambila,301174,Badambila,396181,396181,Badambila,1117,208,0,909,258,246,0,
14,Odisha,24,Kendrapara,357,Mashaghai,3854,ANGULAI,122323,Nuagan,704297,,0,396931,Nuagan,0,0,0,0,1,0,0,Villages taken from SBM
15,Odisha,24,Kendrapara,357,Pattamundai,3850,AMRUTAMANOHI,122225,JAGANNATHPUR,704140,,0,396220,JAGANNATHPUR,0,0,0,0,1,0,0,Villages taken from SBM
15,Odisha,24,Kendrapara,357,Aali,3851,Badambila,122242,Baliada,301182,Baliada,396179,396179,Baliada,363,0,0,363,66,47,0,
16,Odisha,24,Kendrapara,357,Aali,3851,Badambila,122242,Beta,301179,Beta,396182,396182,Beta,621,141,0,480,107,103,0,
16,Odisha,24,KENDRAPARA,357,RAJKANIKA,3852,NAHUNI,122282,NUAGAN,702738,,0,0,,1680,430,0,1250,237,0,0,Villages taken from SBM
17,Odisha,24,KENDRAPARA,357,RAJNAGAR,3853,BALISAHIPATNA,122308,BARDIA,702739,,0,0,,1088,65,0,1023,104,0,0,Villages taken from SBM
17,Odisha,24,Kendrapara,357,Aali,3851,Badambila,122242,Dasipur,301181,Dasipur,395710,396167,Dasi pur,287,167,0,120,63,60,0,
18,Odisha,24,Kendrapara,357,Aali,3851,Badambila,122242,Gamharia,301180,Gamharia,396183,396183,Gambharia,107,0,0,107,22,22,0,
18,Odisha,24,KENDRAPARA,357,RAJNAGAR,3853,BHITARGARH,298860,AMBAORA,697867,,0,0,,18,0,0,18,8,0,0,Villages taken from SBM
19,Odisha,24,KENDRAPARA,357,RAJNAGAR,3853,CHANDIBAUNSMUL,122302,JARIMULA,697325,,0,0,,0,0,0,0,10,0,0,Villages taken from SBM
19,Odisha,24,Kendrapara,357,Aali,3851,Badambila,122242,Kaladia,301177,Kaladia,396180,396180,Kaladia,1636,122,0,1514,296,294,0,
20,Odisha,24,Kendrapara,357,Aali,3851,Badambila,122242,Mruga Nayani,301175,Mruga Nayani,396177,396177,Mruga Nayani,243,85,0,158,57,57,0,
