S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,1574713,182504,787374,604835,351533,345464,168,
1,Odisha,24,Kendujhar,342,Anandapur,3669,Bailo,118617,Bailo,274813,Bailo,386956,386956,Bailo,1434,828,6,600,279,279,0,
1,Odisha,24,Kendujhar,342,Anandapur,3669,BUDHIKUDA,298308,TAVAKUD,704298,,0,386999,TAVAKUD,0,0,0,0,1,0,0,Villages taken from SBM
2,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,BARAGARH,118596,BARAGODA,695296,,0,0,,262,0,261,1,654,0,0,Villages taken from SBM
2,Odisha,24,Kendujhar,342,Anandapur,3669,Bailo,118617,Banika,274814,Banika,386958,386958,Banika,969,968,0,1,194,194,0,
3,Odisha,24,Kendujhar,342,Anandapur,3669,Bailo,118617,Barigaon,274816,Barigaon,387135,386955,Barigaon,606,210,0,396,135,135,0,
3,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,GONASIKA,118606,BAITARANI R.F.,695297,,0,0,,390,42,321,27,93,0,0,Villages taken from SBM
4,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,KARANGADIHI,118602,TENTADIHI,699726,,0,0,,172,85,48,39,82,0,0,Villages taken from SBM
4,Odisha,24,Kendujhar,342,Anandapur,3669,Bailo,118617,Bhatisira,274817,Vatisira,386953,386953,Vatisira,562,131,0,431,133,133,0,
5,Odisha,24,Kendujhar,342,Anandapur,3669,Bailo,118617,Guhalia,274820,Guhalia,386960,386960,Guhalia,996,933,0,63,195,195,0,
5,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,SINGHPUR,118605,BARADA,698890,,0,0,,197,0,193,4,47,0,0,Villages taken from SBM
6,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,TALACHAMPEI,118603,BHALIADALA,698888,,0,0,,180,0,180,0,35,0,0,Villages taken from SBM
6,Odisha,24,Kendujhar,342,Anandapur,3669,Bailo,118617,Hatibandha,274818,Hatibandha,386959,386959,Hatibandha,830,0,0,830,167,167,0,
7,Odisha,24,Kendujhar,342,Anandapur,3669,Bailo,118617,Khadibil,274815,Khadibil,386952,386952,Khadibil,1071,926,0,145,235,235,0,
7,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,TALACHAMPEI,118603,CHEMPEI,695789,,0,0,,232,14,72,146,49,0,0,Villages taken from SBM
8,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,TALACHAMPEI,118603,DANGAPANI,695790,,0,0,,117,0,117,0,32,0,0,Villages taken from SBM
8,Odisha,24,Kendujhar,342,Anandapur,3669,Bailo,118617,Tukuna,274819,Tukuna,386957,386957,Tukuna,1462,604,186,672,357,357,0,
9,Odisha,24,Kendujhar,342,Anandapur,3669,Baunshgarh,118628,Bankhidi,274909,Bankhidi,387026,387026,Bankhidi,1651,657,615,379,389,389,0,
9,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,TALACHAMPEI,118603,SARUKUDAR,698889,,0,0,,108,0,107,1,99,0,0,Villages taken from SBM
10,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,TALACHAMPEI,118603,THAKUDIHI,697427,,0,0,,3,0,3,0,36,0,0,Villages taken from SBM
10,Odisha,24,Kendujhar,342,Anandapur,3669,Baunshgarh,118628,Baunshgarh,274911,Baunsagarh,387028,387028,Baunsagarh,2729,450,2028,251,582,582,0,
11,Odisha,24,Kendujhar,342,Anandapur,3669,Baunshgarh,118628,Janghar,274912,Janghar,387029,387029,Janghar,2253,377,825,1051,446,446,0,
11,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,TANA,118598,IRRIDA,694965,,0,0,,0,0,0,0,67,0,0,Villages taken from SBM
12,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,UPERRAIGODA,118615,JALADIHI,698891,,0,0,,365,0,324,41,206,0,0,Villages taken from SBM
12,Odisha,24,Kendujhar,342,Anandapur,3669,Baunshgarh,118628,Sadangi,274913,Sadangi,387025,387025,Sadangi,975,0,975,0,195,195,0,
13,Odisha,24,Kendujhar,342,Anandapur,3669,Baunshgarh,118628,Sunduria,274910,Sunduria,387027,387027,Sunduria,1161,0,1150,11,277,277,0,
13,Odisha,24,KENDUJHAR,342,BANSAPAL,3668,UPERRAIGODA,118615,PADADIHI,697428,,0,0,,318,28,260,30,42,0,0,Villages taken from SBM
14,Odisha,24,KENDUJHAR,342,HARICHADANPUR,3663,BAREIGODA,118502,KANJIAPAL,693330,,0,0,,222,0,212,10,177,0,0,Villages taken from SBM
14,Odisha,24,Kendujhar,342,Anandapur,3669,Belabahali,118631,Belabhali,274922,Belabhali,386962,386962,Belabhali,4436,252,412,3772,916,916,0,
15,Odisha,24,Kendujhar,342,Anandapur,3669,Belabahali,118631,Purunia,274920,Purunian,386961,386961,Purunian,1357,262,18,1077,264,264,0,
15,Odisha,24,KENDUJHAR,342,HARICHADANPUR,3663,DAITARI,118501,DAITARI,693329,,0,0,,0,0,0,0,989,0,0,Villages taken from SBM
16,Odisha,24,KENDUJHAR,342,HARICHADANPUR,3663,TENTALAPOSI,118503,KHUNDAPOSI,694964,,0,0,,277,0,52,225,82,0,0,Villages taken from SBM
16,Odisha,24,Kendujhar,342,Anandapur,3669,Belabahali,118631,Siapada,274921,Ghosarapada,387053,387293,Siapada,457,210,0,247,106,106,0,
17,Odisha,24,Kendujhar,342,Anandapur,3669,Budhikuda,298308,Budhikuda,274833,Budhikuda,387000,387000,Budhikuda,619,0,596,23,141,141,0,
17,Odisha,24,KENDUJHAR,342,HATADIHI,3670,KANLEIBALIPAL,118632,SAJANAPAL RF,692316,,0,0,,40,14,14,12,36,0,0,Villages taken from SBM
18,Odisha,24,KENDUJHAR,342,HATADIHI,3670,PANCHUGOCHIA,118655,ADHURIA,695890,,0,0,,812,79,0,733,161,0,0,Villages taken from SBM
18,Odisha,24,Kendujhar,342,Anandapur,3669,Budhikuda,298308,Gendaliabasa,653723,Gendaliabasa,387002,387002,Gendaliabasa,132,0,132,0,31,31,0,
19,Odisha,24,KENDUJHAR,342,JHUMPURA,3673,BARIA,118709,RANIPUR,698308,,0,0,,311,0,86,225,135,0,0,Villages taken from SBM
19,Odisha,24,Kendujhar,342,Anandapur,3669,Budhikuda,298308,Mandapada,274904,Mandapada,387001,387001,Mandapada,148,0,148,0,31,31,0,
20,Odisha,24,Kendujhar,342,Anandapur,3669,Budhikuda,298308,Santospur,274834,Santospur,386998,386998,Santospur,702,0,625,77,156,156,0,
20,Odisha,24,KENDUJHAR,342,JHUMPURA,3673,KUTUGAON,118721,SANJODA,694239,,0,0,,433,1,312,120,100,0,0,Villages taken from SBM
21,Odisha,24,KENDUJHAR,342,JODA,3674,ANSEIKALA,118729,KOLHAHUMDULA,694240,,0,0,,984,285,501,198,381,0,0,Villages taken from SBM
