S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,575546,122242,357106,96198,127514,64290,1206,
1,Odisha,24,Malkangiri,369,Chitrakonda,3944,Andrapalli,124155,Andrapalli,317013,Andirapali,430782,430782,Andirapali,295,0,214,81,60,50,0,
1,Odisha,24,Malkangiri,369,Chitrakonda,3944,DHULIPUT,298171,LUHARAM,704334,,0,430705,LUHARAM,0,0,0,0,1,0,0,Villages taken from SBM
2,Odisha,24,Malkangiri,369,Chitrakonda,3944,Andrapalli,124155,Arapadar,317017,Arapadar,430777,430777,Arapadar,354,2,348,4,81,60,0,
2,Odisha,24,Malkangiri,369,Chitrakonda,3944,JANTRI,298170,BHAJAGUDA,704395,,0,430771,BHAJAGUDA,0,0,0,0,1,0,0,Villages taken from SBM
3,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,ANDRAPALLI,124155,BACHALPADAR,317018,Bachilipadar,430776,430776,Bachilipadar,170,0,170,0,37,10,0,
3,Odisha,24,Malkangiri,369,Chitrakonda,3944,JANTRI,298170,TOTAGUDA,704333,,0,430762,TOTAGUDA,0,0,0,0,1,0,0,Villages taken from SBM
4,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,ANDRAPALLI,124155,GHUSUMPADAR,317016,Ghusumpadar,430778,430778,Ghusumpadar,239,0,223,16,52,45,0,
4,Odisha,24,Malkangiri,369,Chitrakonda,3944,JODAMBA,124153,Badatalpadar,704299,,0,430813,Badatalpadar,0,0,0,0,1,0,0,Villages taken from SBM
5,Odisha,24,Malkangiri,369,Chitrakonda,3944,Andrapalli,124155,Kodigandhi,317021,Kodigandhi,430773,430773,Kodigandhi,399,0,399,0,99,99,0,
5,Odisha,24,MALKANGIRI,369,KALIMELA,3945,GOMPAKUNDA,124172,ERAGUNDA,701721,,0,0,,706,14,672,20,284,0,0,Villages taken from SBM
6,Odisha,24,Malkangiri,369,Chitrakonda,3944,Andrapalli,124155,Ramaguda,317015,Ramaguda,430779,908252,Ramguda,664,4,455,205,139,119,0,
6,Odisha,24,MALKANGIRI,369,KHAIRAPUT,3947,GOVINDAPALLI,124193,KAMALAPADAR,702057,,0,0,,0,0,0,0,69,0,0,Villages taken from SBM
7,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,ANDRAPALLI,124155,TENTULIPADAR,317020,Tentulipader,430774,430774,Tentulipader,25,0,20,5,5,0,0,
7,Odisha,24,MALKANGIRI,369,KHAIRAPUT,3947,MADKAPADAR,236457,DABUGUDA,702054,,0,0,,119,0,119,0,73,0,0,Villages taken from SBM
8,Odisha,24,Malkangiri,369,Chitrakonda,3944,Andrapalli,124155,Tikarpada,317019,Tikarpoda,430775,430775,Tikarpoda,39,0,39,0,8,8,0,
8,Odisha,24,MALKANGIRI,369,KHAIRAPUT,3947,RASBEDA,124197,GADIPUT,702055,,0,0,,544,0,533,11,187,0,0,Villages taken from SBM
9,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Arnabhata,316930,Arnabeta,430708,430708,Arnabeta,380,1,353,26,85,85,0,
9,Odisha,24,MALKANGIRI,369,KORUKONDA,3948,KORUKONDA,124210,BANDHAGUDA,701783,,0,0,,0,0,0,0,15,0,0,Villages taken from SBM
10,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Badapada,316923,Badapada,430716,430716,Badapada,914,12,826,76,153,145,0,
10,Odisha,24,MALKANGIRI,369,KORUKONDA,3948,KORUKONDA,124210,KUPULIGUDA,701725,,0,0,,0,0,0,0,7,0,0,Villages taken from SBM
11,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Badaput,316919,Badaput,430719,430719,Badaput,341,53,286,2,68,68,0,
11,Odisha,24,MALKANGIRI,369,KORUKONDA,3948,MARIWADA,124200,TEKGUDA,695729,,0,0,,0,0,0,0,8,0,0,Villages taken from SBM
12,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Boiliguma,316925,Bailiguma,430713,430713,Bailiguma,126,0,126,0,25,10,0,
12,Odisha,24,MALKANGIRI,369,KORUKONDA,3948,NAKAMAMUDI,124148,Anguruguda,700994,,0,0,,67,0,67,0,21,0,0,Villages taken from SBM
13,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Janbai,316865,Janbai,430720,430720,Janbai,400,119,240,41,94,57,0,
13,Odisha,24,MALKANGIRI,369,KORUKONDA,3948,OLD-CHIMITAPALLI,236463,Katapalli,702056,,0,0,,1436,386,994,56,327,0,0,Villages taken from SBM
14,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,BADAPADA,124151,KADAGUMMA-I,316920,Kadaguma(I),430718,430718,Kadaguma(I),94,0,94,0,21,21,0,
14,Odisha,24,MALKANGIRI,369,KORUKONDA,3948,SOMANATHPUR,124145,DUDUMAGUDA,695874,,0,0,,97,0,94,3,61,0,0,Villages taken from SBM
15,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,BADAPADA,124151,KAGADUMMA-II,316924,Kadaguma- (II),430715,430715,Kadaguma- (II),38,0,38,0,12,12,0,
15,Odisha,24,MALKANGIRI,369,KORUKONDA,3948,TARLAKOTTA,124207,ADIGUDA,695727,,0,0,,308,0,286,22,5,0,0,Villages taken from SBM
16,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Karlamalo-i,316928,Korlamal ( I ),430710,430710,Korlamal ( I ),134,0,122,12,29,29,0,
16,Odisha,24,MALKANGIRI,369,KORUKONDA,3948,TARLAKOTTA,124207,Nuaguda,695730,,0,0,,0,0,0,0,51,0,0,Villages taken from SBM
17,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Karlamalo-ii,316927,karlamal ( II ),430711,430711,karlamal ( II ),100,0,100,0,22,22,0,
17,Odisha,24,MALKANGIRI,369,KUDUMULUGUMMA,3944,ANDRAPALLI,124155,RAMAGUDA,701719,,0,0,,92,0,92,0,18,0,0,Villages taken from SBM
18,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Khajuriguma,316922,Khajuriguma,430717,430717,Khajuriguma,220,4,215,1,43,43,0,
18,Odisha,24,MALKANGIRI,369,KUDUMULUGUMMA,3944,DHULIPUT,298171,DHOLIMAMIDI,694033,,0,0,,178,111,61,6,24,0,0,Villages taken from SBM
19,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Kharimala,316921,Kharimala,430845,430845,Kharimala,102,0,102,0,24,24,0,
19,Odisha,24,MALKANGIRI,369,KUDUMULUGUMMA,3944,DHULIPUT,298171,SUNAGOI,695875,,0,0,,260,0,260,0,12,0,0,Villages taken from SBM
20,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapada,124151,Maliguda,316931,Maliguda,430706,430706,Maliguda,127,2,71,54,19,19,0,
20,Odisha,24,MALKANGIRI,369,KUDUMULUGUMMA,3944,DORAGUDA,124201,BADPUT,694038,,0,0,,464,60,352,52,31,0,0,Villages taken from SBM
