S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,681983,122429,300673,258881,164875,96138,300,
1,Odisha,24,SAMBALPUR,340,JAMANKIRA,3642,DIMIRIMUNDA,118157,JHARMUNDA,697805,,0,0,,122,11,111,0,73,0,0,Villages taken from SBM
1,Odisha,24,Sambalpur,340,Bamara,3641,Babuniktimal,258696,Babuniktimal,271253,,,381396,Babuniktimal,427,22,262,143,108,14,0,
2,Odisha,24,Sambalpur,340,Bamara,3641,Babuniktimal,258696,Badijor,271275,,,381395,Badijor,30,0,27,3,6,1,0,
2,Odisha,24,SAMBALPUR,340,JAMANKIRA,3642,KULUNDI,118150,PANKIPARA,696056,,0,0,,329,0,259,70,5,0,0,Villages taken from SBM
3,Odisha,24,SAMBALPUR,340,JAMANKIRA,3642,SIRIDI,275872,BIJADIHI,701373,,0,0,,34,0,34,0,71,0,0,Villages taken from SBM
3,Odisha,24,Sambalpur,340,Bamara,3641,Babuniktimal,258696,Balimal,271254,,,381397,Balimal,141,0,123,18,38,1,0,
4,Odisha,24,Sambalpur,340,Bamara,3641,Babuniktimal,258696,Barakhandia,271256,,,381376,Barakhandia,332,29,247,56,98,3,0,
4,Odisha,24,SAMBALPUR,340,JUJOMURA,3638,KAYAKUD,118088,JARASINGHA,696052,,0,0,,43,3,33,7,5,0,0,Villages taken from SBM
5,Odisha,24,SAMBALPUR,340,MANESWAR,3637,NUATIHURA,118078,KUDALPALI,701372,,0,0,,1326,234,785,307,123,0,0,Villages taken from SBM
5,Odisha,24,Sambalpur,340,Bamara,3641,Babuniktimal,258696,Belmunda,271255,,,381387,Belmunda,372,69,183,120,95,0,0,
6,Odisha,24,Sambalpur,340,Bamara,3641,Babuniktimal,258696,Charbhaya,271258,,,381377,Charibhaya,111,0,86,25,32,9,0,
